geo,country,year,consumption,production,population,region
afg,Afghanistan,2022,0.33135796,4022474,41128771,asia
alb,Albania,2022,3.3,4022474,2842321,europe
dza,Algeria,2022,1.27,0,44903225,africa
ago,Angola,2022,0.98000014,0,35588987,africa
atg,Antigua and Barbuda,2022,0.859917,0,93763,americas
arg,Argentina,2022,128999.97,0,45510318,americas
arm,Armenia,2022,2.3799992,0,2780469,europe
aus,Australia,2022,2.7799995,0,26177413,asia
aut,Austria,2022,1.1699991,0,8939617,europe
aze,Azerbaijan,2022,1.4699998,0,10358074,europe
bhs,Bahamas,2022,0.7399819,0,409984,americas
bhr,Bahrain,2022,3.990011,0,1472233,asia
bgd,Bangladesh,2022,0.040000003,0,171186372,asia
brb,Barbados,2022,1.3499808,0,281635,americas
blr,Belarus,2022,2.6099994,0,9534954,europe
bel,Belgium,2022,0.16000006,0,11655930,europe
blz,Belize,2022,1.3299768,17400,405272,americas
ben,Benin,2022,0.029999997,0,13352864,africa
btn,Bhutan,2022,0.08999884,0,782455,asia
bol,Bolivia,2022,1.1899996,588399,12224110,americas
bih,Bosnia and Herzegovina,2022,3.2999918,0,3233526,europe
bwa,Botswana,2022,0.38999936,0,2630296,africa
bra,Brazil,2022,1.37,3021260,215313498,americas
brn,Brunei,2022,2.5500023,0,449002,asia
bgr,Bulgaria,2022,0.029999984,0,6781953,europe
bfa,Burkina Faso,2022,0,0,22673762,africa
bdi,Burundi,2022,0,0,12889576,africa
khm,Cambodia,2022,0,0,16767842,asia
cmr,Cameroon,2022,0.45999998,2950000,27914536,africa
can,Canada,2022,2.61,0,38454327,americas
cpv,Cape Verde,2022,4.299883,0,593149,africa
caf,Central African Republic,2022,4.5,766793.9,5579144,africa
tcd,Chad,2022,0.029999916,13555,17723315,africa
chl,Chile,2022,2.7,509241.2,19603733,americas
chn,China,2022,1.12,0,1425887337,asia
col,Colombia,2022,0.29999992,0,51874024,americas
com,Comoros,2022,2.0700004,0,836774,africa
cod,"Congo, Dem. Rep.",2022,0.13,0,99010212,africa
cog,"Congo, Rep.",2022,0.15,0,5970424,africa
cri,Costa Rica,2022,0.9,65164,5180829,americas
civ,Cote d'Ivoire,2022,0.37999907,42.62,28160542,africa
hrv,Croatia,2022,2.5799983,16000,4030358,europe
cub,Cuba,2022,0.95000017,800,11212191,americas
cyp,Cyprus,2022,6.41,2228459,1251488,europe
cze,Czech Republic,2022,2.5200005,0,10493986,europe
dnk,Denmark,2022,3.9399962,0,5882261,europe
